Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219
K-Nearest Neighbors,0.9649122807017544,1.0,0.9047619047619048,0.95
Random Forest,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925
Support Vector Machine,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219
Decision Tree,0.9210526315789473,0.9714285714285714,0.8095238095238095,0.8831168831168831
Neural Network,0.9649122807017544,1.0,0.9047619047619048,0.95
